text,type,count-occurences-total,count-documents
27 September 2020,DATE,1,1
6 January 2021,DATE,1,1
25 January 2021,DATE,1,1
10.1002,CARDINAL,2,2
Chen Tong1,PERSON,1,1
Liu Jiqiang1,PERSON,1,1
Xiang Yingxiao1,PERSON,1,1
Tong,GPE,3,3
Wang Shuoru1,PERSON,1,1
Li,PERSON,21,9
Chang Liang2,PERSON,1,1
Chen Qi Alfred4,PERSON,1,1
1Beijing Key Laboratory of Security,ORG,1,1
Beijing Jiaotong University,ORG,2,1
Beijing,GPE,3,2
China,GPE,11,5
Key Laboratory,ORG,1,1
Trusted Software,ORG,3,1
Guilin University of Electronic Technology,ORG,1,1
Guilin,GPE,1,1
Information Technology,ORG,1,1
Deakin University,ORG,1,1
Geelong,GPE,1,1
Australia,GPE,6,4
Bren School of Information and Computer Sciences,ORG,1,1
ICS,ORG,1,1
"University of California,",ORG,2,2
Irvine,GPE,1,1
California,GPE,8,2
Tong Endong,PERSON,2,1
Beijing Key Laboratory of Security,ORG,1,1
3,CARDINAL,313,19
Shangyuan Village,GPE,1,1
Haidian District,GPE,1,1
100044,DATE,1,1
N. W.,PERSON,1,1
The National Natural Science Foundation of China,ORG,2,1
Grant/Award Numbers,ORG,3,1
61972025,CARDINAL,1,1
61802389,DATE,2,1
61672092,DATE,2,1
61966009,DATE,2,1
National Key R&D Program of China,ORG,1,1
2020YFB1005604,CARDINAL,2,1
2020YFB2103800,CARDINAL,2,1
Fundamental Research Funds,ORG,1,1
the Central Universities of China,ORG,2,1
2018JBZ103,CARDINAL,1,1
Science and Technology on Information Assurance Laboratory,ORG,2,1
Guangxi Key Laboratory,ORG,2,1
"Grant/Award Number: KX201902 
Abstract Pathfinding",ORG,1,1
first,ORDINAL,55,9
only one,CARDINAL,8,6
95%,PERCENT,5,4
2.95,CARDINAL,3,1
1,CARDINAL,428,19
Kiva,PERSON,1,1
Amazon Robotics,ORG,1,1
pathfinding4,PERSON,1,1
AI,ORG,13,2
RL,ORG,9,1
Berkley,ORG,1,1
attack10,PERSON,1,1
"60 miles,11",QUANTITY,1,1
confidence.12,CARDINAL,1,1
2324,DATE,1,1
TONG ET AL,ORG,12,1
1098111x,DATE,19,1
2021,DATE,85,10
5,DATE,31,4
Aalborg University Library,ORG,91,4
Wiley Online Library,ORG,183,5
OA,ORG,91,4
Creative Commons License,PERSON,91,4
2,CARDINAL,423,19
three,CARDINAL,89,18
TONG ET AL.,ORG,11,1
2325,CARDINAL,1,1
2.,CARDINAL,2,2
four,CARDINAL,60,11
100,CARDINAL,68,14
Section 2,LAW,6,5
Section 3,LAW,8,5
Section 4,LAW,7,4
Section 5,LAW,6,3
6,CARDINAL,150,19
Section 7,LAW,5,4
Section 8,LAW,2,2
PRELIMINARY,ORG,1,1
2.1,CARDINAL,20,11
∈,PERSON,10,3
0,CARDINAL,145,12
Markov,PERSON,8,3
N γ r p,ORG,1,1
State,ORG,6,3
Bellman equation16,PERSON,1,1
2326,CARDINAL,1,1
← ∇,ORG,1,1
V s V s +,PRODUCT,1,1
− log,PERSON,1,1
N,ORG,6,4
4,CARDINAL,186,19
2.2,CARDINAL,13,10
SNM,ORG,1,1
N ×,ORG,2,1
two,CARDINAL,225,19
⟩,PERSON,1,1
0,DATE,6,4
one,CARDINAL,107,19
⎡,PERSON,6,2
⎦,CARDINAL,6,1
⎥,GPE,24,1
"⋯ 
S 
s s s s s s 
s s s 
",PERSON,1,1
"NM 
M 
M 
",ORG,1,1
N N N M,ORG,1,1
10,CARDINAL,180,19
5,CARDINAL,168,19
N M,ORG,1,1
RETRAINING ATTACK ANALYSIS,ORG,1,1
3.1,CARDINAL,17,13
Target,ORG,2,2
two‐layer,PERSON,1,1
2327,CARDINAL,1,1
3.2,CARDINAL,14,13
Retraining,PERSON,1,1
"10,000",CARDINAL,10,3
2328,DATE,1,1
3.3,CARDINAL,8,7
Vulnerability,ORG,1,1
Amid a N ×,WORK_OF_ART,1,1
s p,ORG,1,1
≈,FAC,1,1
μ π s p a s,ORG,1,1
7,CARDINAL,80,19
σ π s,PERSON,1,1
First,ORDINAL,24,8
4.1,CARDINAL,18,10
Capturing,ORG,1,1
2329,CARDINAL,1,1
⎡,WORK_OF_ART,3,1
V s V s V s,PRODUCT,1,1
N π N π N M,ORG,1,1
8),CARDINAL,12,8
2330,DATE,1,1
4.2,CARDINAL,14,9
Fitting,ORG,1,1
S S S S,ORG,1,1
⎧ ⎨ ⎩,PERSON,1,1
⎣⎢ ⎥,ORG,1,1
≥ ≤ ≤,PERSON,1,1
2 3,CARDINAL,1,1
9,CARDINAL,77,18
G k s,ORG,2,1
V,PRODUCT,1,1
∈ ∈,PERSON,1,1
S|,NORP,1,1
LS,GPE,1,1
linear,ORG,11,7
"⋯ 
⋯ ⋮ ⋮",ORG,1,1
11,CARDINAL,66,17
12,CARDINAL,109,18
0 1 2,PERCENT,1,1
k k k,PERSON,1,1
max max max max,PERSON,1,1
EL,ORG,3,1
⋃,PRODUCT,1,1
≥,PERSON,5,3
EH,ORG,3,1
r.,NORP,1,1
13,CARDINAL,81,18
P x r x e y r y e = ( ( ) −,ORG,1,1
14,CARDINAL,73,18
EL,GPE,1,1
