Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
On the technologies empowering drones for intelligent monitoring of solar photovoltaic power plants,https://www.sciencedirect.com/science/article/pii/S1877050918310366,10.1016/j.procs.2018.07.087,True,,2018,"https://scholar.google.com/scholar?hl=en&q=drones power plants&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Procedia Computer Science,False,,"Kumar, Nallapaneni Manoj and Sudhakar, K. and Samykano, M. and Jayaseelan, V."
Monitoring of defects of a photovoltaic power plant using a drone,https://www.mdpi.com/1996-1073/12/5/795,10.3390/en12050795,True,Monitoring of defects of a photovoltaic power plant using a drone.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=drones power plants&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Energies,True,Scholar,"Libra, Martin and Daneček, Milan and Lešetický, Jan and Poulek, Vladislav and Sedláček, Jan and Beránek, Václav"
"Remote management architecture of UAV fleets for maintenance, surveillance, and security tasks in solar power plants",https://www.mdpi.com/1996-1073/13/21/5712,10.3390/en13215712,True,Remote management architecture of UAV fleets for maintenance_ surveillance_ and security tasks in solar power plants.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=drones power plants&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Energies,True,Scholar,"Bemposta Rosende, Sergio and Sánchez-Soriano, Javier and Gómez Muñoz, Carlos Quiterio and Fernández Andrés, Javier"
Experimental investigations on PV cleaning of large-scale solar power plants in desert climates: Comparison of cleaning techniques for drone retrofitting,https://www.sciencedirect.com/science/article/pii/S0196890419301049,10.1016/j.enconman.2019.01.058,True,,2019,"https://scholar.google.com/scholar?hl=en&q=drones power plants&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Energy Conversion and Management,False,,"Al-Housani, Mohammed and Bicer, Yusuf and Koç, Muammer"
An efficient optimization of battery-drone-based transportation systems for monitoring solar power plant,https://ieeexplore.ieee.org/abstract/document/9956850/,10.1109/tits.2022.3219568,True,,2023,"https://scholar.google.com/scholar?hl=en&q=drones power plants&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",IEEE Transactions on Intelligent Transportation Systems,False,,"Jemmali, Mahdi and Bashir, Ali Kashif and Boulila, Wadii and Melhim, Loai Kayed B. and Jhaveri, Rutvij H. and Ahmad, Jawad"
Power supply architectures for drones-a review,https://ieeexplore.ieee.org/abstract/document/8927702/,10.1109/iecon.2019.8927702,True,,2019,"https://scholar.google.com/scholar?hl=en&q=drones power plants&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",IEEE,False,,"Boukoberine, Mohamed Nadir and Zhou, Zhibin and Benbouzid, Mohamed"
The use of drones in the maintenance of photovoltaic fields,https://www.e3s-conferences.org/articles/e3sconf/abs/2019/45/e3sconf_sf2018_00021/e3sconf_sf2018_00021.html,10.1051/e3sconf/201911900021,True,The use of drones in the maintenance of photovoltaic fields.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=drones power plants&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",E3S Web of Conferences,True,Scholar,"Bizzarri, Fabrizio and Nitti, Silvia and Malgaroli, Gabriele"
Demonstration of SOFC power sources for drones (UAVs; unmanned aerial vehicles),https://iopscience.iop.org/article/10.1149/09101.0149ecst/meta,10.1149/09101.0149ecst,True,,2019,"https://scholar.google.com/scholar?hl=en&q=drones power plants&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",ECS Transactions,False,,"Sumi, Hirofumi and Nakabayashi, Seigo and Kawada, Tetsuya and Uchiyama, Yasuyuki and Uchiyama, Naoki and Ichihara, Kazuo"
RFID and drones: The next generation of plant inventory,https://www.mdpi.com/2624-7402/3/2/11,10.3390/agriengineering3020011,True,RFID and drones_ The next generation of plant inventory.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=drones power plants&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",AgriEngineering,True,Scholar,"Quino, Jannette and Maja, Joe Mari and Robbins, James and Fernandez, R. Thomas and Owen, James S. and Chappell, Matthew"
Internet of things and internet of drones in the renewable energy infrastructure towards energy optimization,https://link.springer.com/chapter/10.1007/978-981-16-1011-0_2,10.1007/978-981-16-1011-0_2,True,,2021,"https://scholar.google.com/scholar?hl=en&q=drones power plants&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Springer Singapore,False,,"Matani, Ashok G."
