text,count-occurences-total,count-documents
r,368,220
e,288,192
h,421,315
l,281,197
chen,51,45
liu,40,37
xiang,2,2
niu,4,4
tong,33,33
wang,89,77
li,74,65
chang,7,7
qi,14,12
key,91,69
laboratory,51,37
security,157,101
privacy,38,27
intelligent,63,60
transportation,66,52
software,117,101
technology,293,240
bren,1,1
school,14,12
information,417,313
sciences,29,27
ics,1,1
irvine,1,1
correspondence,14,14
wenjia,1,1
shangyuan,1,1
village,36,16
email,6,5
niuwjbjtueducn,1,1
n,244,171
w,273,170
edtongbjtueducn,1,1
science,89,76
foundation,13,13
numbers,22,19
rd,13,10
program,30,27
research,464,318
funds,2,2
universities,4,4
assurance,5,5
guangxi,2,2
abstract,24,23
component,19,19
realworld,19,18
scenarios,119,96
warehouse,34,23
systems,559,431
aircraft,182,143
hicles,1,1
development,100,86
reinforcement,44,29
rl,23,8
context,81,66
advantage,44,42
revolution,4,4
terms,168,165
efficient,131,119
parallel,79,52
applications,449,302
attack,159,80
paper,189,119
study,287,218
wake,2,2
longtime,1,1
mechanism,14,11
dis,2,2
cover,55,45
example,223,181
generation,103,85
launch,3,3
gradient,23,21
band,44,31
baffle,28,22
unit,53,49
lengths,11,10
perform,138,125
experiments,60,52
analysis,273,229
success,31,27
rate,107,80
evasion,19,15
path,384,247
start,44,40
location,159,129
destination,21,19
map,127,74
vital,4,4
amazon,17,14
robotics,75,69
family,6,4
multiagent,12,12
anyangle,2,2
interests,20,18
intelligence,42,39
ai,32,29
computer,56,48
operations,323,199
direction,75,53
push,4,3
learns,1,1
policy,27,19
agents,27,20
trials,11,10
action,71,48
exploration,27,23
environment,233,181
rewards,11,8
deep,81,59
develops,3,3
algorithms,280,186
q,88,73
framework,114,83
promising,37,32
efficiency,125,94
agent,42,30
executes,3,3
multiple,218,182
interact,60,44
parallelism,1,1
fast,61,60
cooperative,55,49
broader,3,3
promote,6,6
machine,140,97
opens,3,3
door,6,4
cyber,19,13
attacks,71,38
issue,49,39
described,119,109
berkleys,1,1
vulnerabilities,11,10
instance,59,52
stop,22,20
sign,16,13
deceive,1,1
output,155,102
recognition,74,57
speed,168,141
limit,25,25
panda,2,2
image,566,330
gibbon,1,1
studies,150,104
highlight,13,13
challenges,224,156
knowledge,48,44
work,260,204
focuses,24,20
vulnerability,13,7
nonparallel,1,1
overlook,2,2
understand,41,39
deployment,91,71
nonstop,1,1
connection,37,33
training,111,66
process,183,151
operate,35,32
results,468,329
serve,25,21
guideline,2,2
implementation,105,91
highsuccess,1,1
exploitation,6,5
requirement,24,22
et,807,458
al,786,450
aalborg,107,104
online,330,184
conditions,239,201
rules,134,129
oa,92,92
articles,163,137
commons,111,102
license,124,120
usage,61,48
